F_ID,Email,Phone_Number,PAN_Number,Aadhaar_Number,Highest_Degree,Area_of_Certification,Date_of_Joining,Experience,Past_Experience,Future_Experience_Calculated,Age,Other_Experience,Resignation_at_Joining,Current_Designation,Photo,Date_Appointed_as_Professor,Professor_of_Other_Institution,Date_of_Birth,Detailed_ID,Various_Other_Info,Nature_of_Association,Regular_Contribution,apaar_id,signature_url
115,amroz.siddique@fcrit.ac.in,9876543219,AXJPS9908D,556677889900,"M. Tech (Comp)","Web Application",2003-07-08,22,NULL,NULL,45,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1980-04-05,NULL,NULL,Regular,NULL,NULL,NULL
129,bhakti.aher@fcrit.ac.in,9876543233,BHTPS9884F,990011223388,"ME (COMP)","Social Media Analytics",2022-08-03,3,NULL,NULL,31,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1994-04-25,NULL,NULL,Contract,NULL,NULL,NULL
128,bharati.k@fcrit.ac.in,9876543232,ADUPJ6563E,889900112277,"M.E. (Electrics)","Power Electronics",2022-07-21,3,NULL,NULL,32,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1993-12-20,NULL,NULL,Contract,NULL,NULL,NULL
114,chhaya.pawar@fcrit.ac.in,9876543218,AKCPD6570A,445566778899,"Ph. D","Artificial Intelligence",2022-11-01,3,NULL,NULL,43,NULL,NULL,"Associate Professor",NULL,NULL,NULL,1982-11-25,NULL,NULL,Regular,NULL,NULL,NULL
120,dakshayani@fcrit.ac.in,9876543224,APNPG7656Q,001122334455,"M.E (Comp)","Data Science",2007-08-31,18,NULL,NULL,45,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1980-06-18,NULL,NULL,Regular,NULL,NULL,NULL
100,hindavi815@gmail.com,9876543210,ABCDE1234F,123456789012,PhD,"Artificial Intelligence",2025-05-01,5,"Industry experience",NULL,35,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1985-01-01,NULL,NULL,Permanent,NULL,NULL,NULL
113,jyoti.more@fcrit.ac.in,9876543217,BKQPS3452K,334455667788,"Ph. D",Networks,2022-02-02,3,NULL,NULL,40,NULL,NULL,"Associate Professor",NULL,NULL,NULL,1985-03-10,NULL,NULL,Regular,NULL,NULL,NULL
119,kavita.shelke@fcrit.ac.in,9876543223,BTXPS9598A,990011223344,"M.E (Comp)",Networking,2007-08-27,18,NULL,NULL,44,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1981-12-14,NULL,NULL,Regular,NULL,NULL,NULL
111,lata.ragha@fcrit.ac.in,9876543215,ABKPR9379N,112233445566,"Ph. D","Network Security",2016-12-21,9,NULL,NULL,50,NULL,NULL,Professor,NULL,NULL,NULL,1975-05-15,NULL,NULL,Regular,NULL,NULL,NULL
112,m.kiruthika@fcrit.ac.in,9876543216,AEWPK3412N,223344556677,"Ph. D","Data Mining",1997-07-02,28,NULL,NULL,55,NULL,NULL,"Associate Professor",NULL,NULL,NULL,1970-08-20,NULL,NULL,Regular,NULL,NULL,NULL
121,mritunjay.ojha@fcrit.ac.in,9876543225,AAOPO9845K,112233445500,"M.E (Comp)","Computer Network",2008-07-28,17,NULL,NULL,43,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1982-04-09,NULL,NULL,Regular,NULL,NULL,NULL
134,neelam.joshi@fcrit.ac.in,9876543238,AODPJ4975Q,445566778844,"M. Tech (CSE)","Software Engineering",2024-07-10,1,NULL,NULL,26,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1999-06-18,NULL,NULL,Contract,NULL,NULL,NULL
126,nupur.gaikwad@fcrit.ac.in,9876543230,CKUPG1596B,667788990055,"ME (Comp)",Networking,2022-07-20,3,NULL,NULL,33,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1992-10-10,NULL,NULL,Contract,NULL,NULL,NULL
127,prachi.verma@fcrit.ac.in,9876543231,AOCPV9816K,778899001166,"M. Tech (Adv. Computing)","Cloud Computing",2022-07-15,3,NULL,NULL,34,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1991-11-05,NULL,NULL,Contract,NULL,NULL,NULL
125,pravin.rahate@fcrit.ac.in,9876543229,AIBPR0094C,556677889944,"Ph. D","Deep Learning",2022-11-01,3,NULL,NULL,37,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1988-07-03,NULL,NULL,Regular,NULL,NULL,NULL
124,priyamvada.singh@fcrit.ac.in,9876543228,EHEPS3732Q,445566778833,"M. Tech (IT)","Semantic Web",2021-08-16,4,NULL,NULL,35,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1990-02-14,NULL,NULL,Regular,NULL,NULL,NULL
122,rahul.jadhav@fcrit.ac.in,9876543226,AJFPJ3223J,223344556611,"M.E (Comp)","Data Science",2008-12-23,17,NULL,NULL,42,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1983-05-19,NULL,NULL,Regular,NULL,NULL,NULL
133,raj.ramchandani@fcrit.ac.in,9876543237,CAQPR9276K,334455667733,"MS (Data Science)","Data Science",2024-07-01,1,NULL,NULL,27,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1998-01-05,NULL,NULL,Contract,NULL,NULL,NULL
117,rakhi.kalantri@fcrit.ac.in,9876543221,AWUPK0316K,778899001122,"M.E (Comp)","Cyber Security",2007-06-01,18,NULL,NULL,42,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1983-07-22,NULL,NULL,Regular,NULL,NULL,NULL
140,s@gmail.com,7798248912,AFZPK7190K,123456789101,PhD,MU,2025-07-24,0,,NULL,51,NULL,NULL,HOD,NULL,NULL,NULL,2025-07-03,NULL,NULL,HOD,NULL,NULL,NULL
118,shagufta.rajguru@fcrit.ac.in,9876543222,AMEPR2948G,889900112233,"M.E (Comp)","Computer Security",2007-07-13,18,NULL,NULL,41,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1984-01-30,NULL,NULL,Regular,NULL,NULL,NULL
135,shalaka.deshpande@fcrit.ac.in,9876543239,CJLPD8105K,556677889955,"ME (Embedded Systems)","Embedded System",2024-07-31,1,NULL,NULL,25,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,2000-12-25,NULL,NULL,Contract,NULL,NULL,NULL
116,smita.dange@fcrit.ac.in,9876543220,AKUPM5516F,667788990011,"Ph. D","IOT, ML and Data Analytics",2004-07-05,21,NULL,NULL,47,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1978-09-12,NULL,NULL,Regular,NULL,NULL,NULL
123,smita.rukhande@fcrit.ac.in,9876543227,AMVPR5107Q,334455667722,"ME (COMP)",Security,2009-04-08,16,NULL,NULL,40,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1985-08-27,NULL,NULL,Regular,NULL,NULL,NULL
141,TEST@gmail.com,0885598794,ABKPR9379W,112234445566,"Ph. D","Network Security",2025-07-08,8,,NULL,18,NULL,NULL,Professor,NULL,NULL,NULL,2025-07-15,NULL,NULL,HOD,NULL,NULL,NULL
131,ujala.patil@fcrit.ac.in,9876543235,CIAPP5264K,112233445511,"M. Tech (CSC)","Cloud Computing",2023-07-04,2,NULL,NULL,29,NULL,NULL,"Assistant Professor",NULL,NULL,NULL,1996-03-22,NULL,NULL,Contract,NULL,NULL,NULL
